Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,3992.131348,4060.000000,3992.053223,4055.000000,4055.000000,0
2019-12-10,3995.426758,4055.000000,3995.426758,4055.000000,4055.000000,0
2019-12-11,3992.499023,4055.000000,3989.313232,4053.000000,4053.000000,0
2019-12-12,3968.466309,4055.000000,3968.466309,4055.000000,4055.000000,0
2019-12-13,3962.562256,4050.000000,3962.562256,4051.000000,4051.000000,0
2019-12-16,3996.404785,4055.000000,3975.306396,4050.000000,4050.000000,0
2019-12-17,3977.858398,4055.000000,3977.858398,4055.000000,4055.000000,0
2019-12-18,3993.810059,4050.000000,3993.810059,3992.180664,3992.180664,0
2019-12-19,3997.391602,4053.000000,3968.271729,4050.000000,4050.000000,0
2019-12-20,3972.661377,4050.000000,3968.196045,4050.000000,4050.000000,0
2019-12-23,3975.987305,4045.000000,3964.982666,4045.000000,4045.000000,0
2019-12-24,3960.961182,4046.000000,3960.961182,4046.000000,4046.000000,0
2019-12-25,3960.667480,3960.667480,3960.667480,4045.000000,4045.000000,0
2019-12-26,3959.006836,4047.000000,3959.006836,3960.667480,3960.667480,0
2019-12-27,3954.923340,4055.000000,3954.923340,4047.000000,4047.000000,0
2019-12-30,3961.117188,4055.000000,3961.117188,4055.000000,4055.000000,0
2019-12-31,3976.382813,4056.000000,3976.382813,4056.000000,4056.000000,0
2020-01-01,4006.355957,4006.355957,4006.355957,3990.992920,3990.992920,0
2020-01-02,3989.302979,4070.000000,3989.302979,4006.355957,4006.355957,0
2020-01-03,3993.897461,4055.000000,3990.170898,4050.000000,4050.000000,0
2020-01-06,3978.143555,4058.000000,3978.143555,4055.000000,4055.000000,0
2020-01-07,3982.984619,4059.000000,3982.984619,4058.000000,4058.000000,0
2020-01-08,3990.985352,4065.000000,3989.936279,4059.000000,4059.000000,0
2020-01-09,3995.645020,4063.000000,3983.616211,4065.000000,4065.000000,0
2020-01-10,3984.189941,4060.000000,3979.359131,4060.000000,4060.000000,0
2020-01-13,3969.787598,4056.000000,3969.787598,3970.233887,3970.233887,0
2020-01-14,3969.308594,4056.000000,3969.308594,4056.000000,4056.000000,0
2020-01-15,3970.439697,4046.000000,3964.166016,4046.000000,4046.000000,0
2020-01-16,3963.366211,4045.000000,3963.366211,4043.000000,4043.000000,0
2020-01-17,3972.974854,3972.974854,3972.896729,4045.000000,4045.000000,0
2020-01-20,3979.180664,4043.000000,3972.883789,3972.896729,3972.896729,0
2020-01-21,3970.895752,4025.000000,3970.895752,4025.000000,4025.000000,0
2020-01-22,4005.703125,4030.000000,3961.553223,4025.000000,4025.000000,0
2020-01-23,3958.266602,4050.000000,3958.217773,4030.000000,4030.000000,0
2020-01-24,3971.467041,4030.000000,3971.467041,4045.000000,4045.000000,0
2020-01-27,3971.577881,4035.000000,3971.577881,4030.000000,4030.000000,0
2020-01-28,3973.484619,4046.000000,3973.484619,4046.000000,4046.000000,0
2020-01-29,4015.377197,4046.000000,3996.564697,4040.000000,4040.000000,0
2020-01-30,3993.642822,4040.000000,3993.642822,4040.000000,4040.000000,0
2020-01-31,3999.147705,4037.000000,3999.147705,4035.000000,4035.000000,0
2020-02-03,3985.600342,3985.600342,3985.104736,4035.000000,4035.000000,0
2020-02-04,3986.347900,4035.000000,3986.347900,3985.104736,3985.104736,0
2020-02-05,4007.481445,4055.000000,4002.794189,4040.000000,4040.000000,0
2020-02-06,4011.364258,4050.000000,4003.673096,4055.000000,4055.000000,0
2020-02-07,4009.578857,4055.000000,4003.560791,4050.000000,4050.000000,0
2020-02-10,4004.182373,4070.000000,4004.182373,4055.000000,4055.000000,0
2020-02-11,4017.261963,4070.000000,4000.916260,4070.000000,4070.000000,0
2020-02-12,3999.194092,3999.194092,3998.882080,4070.000000,4070.000000,0
2020-02-13,4013.446777,4065.000000,4000.497314,3998.882080,3998.882080,0
2020-02-14,4007.843994,4061.000000,3999.907715,4060.000000,4060.000000,0
2020-02-17,3999.630859,4065.000000,3999.206787,4061.000000,4061.000000,0
2020-02-18,4004.119141,4066.000000,4004.119141,4065.000000,4065.000000,0
2020-02-19,4012.293457,4066.000000,3998.739990,4066.000000,4066.000000,0
2020-02-20,3995.648682,4061.000000,3995.648682,4060.000000,4060.000000,0
2020-02-21,3998.851074,4061.000000,3988.981934,4061.000000,4061.000000,0
2020-02-24,3978.685791,4065.000000,3978.685791,4060.000000,4060.000000,0
2020-02-25,3969.774902,4065.000000,3969.774902,4065.000000,4065.000000,0
2020-02-26,3975.721191,4065.000000,3973.904053,4065.000000,4065.000000,0
2020-02-27,3970.039795,4055.000000,3970.039795,4055.000000,4055.000000,0
2020-02-28,3973.698486,4060.000000,3972.160645,4060.000000,4060.000000,0
2020-03-02,3951.181152,4060.000000,3951.181152,4055.000000,4055.000000,0
2020-03-03,3980.523682,4060.000000,3978.130615,4057.000000,4057.000000,0
2020-03-04,3961.778320,4065.000000,3961.778320,4060.000000,4060.000000,0
2020-03-05,3965.538086,4066.000000,3963.841553,4066.000000,4066.000000,0
2020-03-06,3944.488770,4063.000000,3944.488770,4060.000000,4060.000000,0
2020-03-09,3958.037109,4050.000000,3958.037109,4050.000000,4050.000000,0
2020-03-10,4001.139648,4036.000000,4001.139648,4036.000000,4036.000000,0
2020-03-11,4013.069336,4035.000000,3966.170654,4036.000000,4036.000000,0
2020-03-12,3975.948242,4030.000000,3975.948242,3995.861816,3995.861816,0
2020-03-13,4013.785156,4035.000000,4011.647461,4030.000000,4030.000000,0
2020-03-16,4032.603027,4032.603027,4023.000000,4023.000000,4023.000000,0
2020-03-17,4039.479980,4041.310791,4024.000000,4025.000000,4025.000000,0
2020-03-18,4042.835693,4042.835693,3949.395020,4034.967529,4034.967529,0
2020-03-19,3975.155762,4030.000000,3974.082275,4030.000000,4030.000000,0
2020-03-20,3986.506104,4025.000000,3978.661865,4020.000000,4020.000000,0
2020-03-23,3985.048584,4030.000000,3918.787109,4027.000000,4027.000000,0
2020-03-24,3908.131104,4030.000000,3908.131104,4033.000000,4033.000000,0
2020-03-25,3982.105225,4035.000000,3950.314697,4030.000000,4030.000000,0
2020-03-26,3917.212891,4040.000000,3917.212891,4030.000000,4030.000000,0
2020-03-27,3943.282715,4040.000000,3943.282715,4035.000000,4035.000000,0
2020-03-30,3908.305908,4041.000000,3908.305908,3901.033691,3901.033691,0
2020-03-31,3983.911865,4040.000000,3977.948486,4045.000000,4045.000000,0
2020-04-01,3940.933594,4045.000000,3940.933594,4040.000000,4040.000000,0
2020-04-02,3968.111816,4045.000000,3968.111816,4045.000000,4045.000000,0
2020-04-03,4003.634033,4045.000000,3973.018066,4040.000000,4040.000000,0
2020-04-06,3967.562744,4047.000000,3967.562744,4047.000000,4047.000000,0
2020-04-07,3984.990967,4041.000000,3969.160400,4040.000000,4040.000000,0
2020-04-08,3971.862793,4045.000000,3971.862793,4040.000000,4040.000000,0
2020-04-09,3972.055908,4046.000000,3972.055908,4045.000000,4045.000000,0
2020-04-10,3958.072998,4045.000000,3958.072998,4045.000000,4045.000000,0
2020-04-13,3955.936279,4045.000000,3947.250732,4045.000000,4045.000000,0
2020-04-14,3958.598389,4040.000000,3957.345703,4031.000000,4031.000000,0
2020-04-15,3943.658203,4040.000000,3943.658203,4035.000000,4035.000000,0
2020-04-16,3950.873535,4041.000000,3950.873535,4041.000000,4041.000000,0
2020-04-17,3957.119385,4041.000000,3956.170654,4041.000000,4041.000000,0
2020-04-20,3947.647217,4045.000000,3947.647217,3942.528809,3942.528809,0
2020-04-21,3950.245605,4045.000000,3950.245605,4045.000000,4045.000000,0
2020-04-22,3940.702881,4055.000000,3940.702881,4050.000000,4050.000000,0
2020-04-23,4004.920898,4061.000000,3979.404785,4061.000000,4061.000000,0
2020-04-24,3984.487549,4060.000000,3984.487549,4055.000000,4055.000000,0
2020-04-27,3971.405029,4050.000000,3971.405029,4050.000000,4050.000000,0
2020-04-28,3978.343750,4050.000000,3978.343750,4080.000000,4080.000000,0
2020-04-29,4025.107910,4051.000000,3990.870850,4080.000000,4080.000000,0
2020-04-30,3985.523682,4075.000000,3985.523682,4075.000000,4075.000000,0
2020-05-01,3960.079590,4087.000000,3960.079590,4087.000000,4087.000000,0
2020-05-04,3959.211426,4090.000000,3959.211426,4081.000000,4081.000000,0
2020-05-05,4021.190186,4090.000000,4016.640625,4090.000000,4090.000000,0
2020-05-06,4017.845215,4080.000000,4017.160400,4080.000000,4080.000000,0
2020-05-07,4020.695801,4086.000000,4014.048828,4080.000000,4080.000000,0
2020-05-08,3992.625977,4087.000000,3992.625977,4085.000000,4085.000000,0
2020-05-11,4009.922119,4083.000000,4009.922119,4080.000000,4080.000000,0
2020-05-12,4026.776611,4085.000000,4026.502441,4085.000000,4085.000000,0
2020-05-13,4019.529297,4085.000000,4013.956055,4083.000000,4083.000000,0
2020-05-14,4029.275635,4087.000000,4027.225830,4087.000000,4087.000000,0
2020-05-15,4019.008057,4077.000000,4017.885254,4075.000000,4075.000000,0
2020-05-18,4016.492188,4077.000000,4005.919678,4077.000000,4077.000000,0
2020-05-19,3966.444092,4087.000000,3966.444092,4085.000000,4085.000000,0
2020-05-20,4023.824463,4087.000000,4023.072510,4087.000000,4087.000000,0
2020-05-21,4018.945801,4087.000000,4018.788086,4085.000000,4085.000000,0
2020-05-22,4032.774414,4095.000000,4030.583496,4086.000000,4086.000000,0
2020-05-25,4032.191406,4033.051270,4032.191406,4085.000000,4085.000000,0
2020-05-26,4028.504639,4100.000000,4028.504639,4033.051270,4033.051270,0
2020-05-27,4026.507324,4091.000000,4025.588135,4090.000000,4090.000000,0
2020-05-28,4016.739502,4100.000000,4016.739502,4090.000000,4090.000000,0
2020-05-29,3990.376221,4101.000000,3990.376221,4101.000000,4101.000000,0
2020-06-01,4041.111572,4105.000000,4034.005127,4100.000000,4100.000000,0
2020-06-02,4025.797852,4105.000000,4025.797852,4105.000000,4105.000000,0
2020-06-03,4101.000000,4101.000000,4030.975830,4100.000000,4100.000000,0
2020-06-04,4023.827881,4103.000000,4023.827881,4103.000000,4103.000000,0
2020-06-05,3977.766602,4101.000000,3977.766602,4100.000000,4100.000000,0
2020-06-08,4043.984131,4101.000000,4043.111816,4101.000000,4101.000000,0
2020-06-09,4031.863525,4095.000000,4029.049316,4090.000000,4090.000000,0
2020-06-10,4007.019775,4090.000000,4007.019775,4095.000000,4095.000000,0
2020-06-11,4018.931641,4091.000000,4018.931641,4091.000000,4091.000000,0
2020-06-12,4050.747314,4051.354248,4050.747314,4081.000000,4081.000000,0
2020-06-15,4071.347412,4076.000000,4045.000000,4076.000000,4076.000000,0
2020-06-16,4039.544922,4047.000000,4038.715576,4047.000000,4047.000000,0
2020-06-17,4056.924072,4056.924072,3974.568604,4045.000000,4045.000000,0
2020-06-18,3976.212891,4047.000000,3976.212891,4045.000000,4045.000000,0
2020-06-19,3996.500977,4046.000000,3996.500977,4046.000000,4046.000000,0
2020-06-22,4005.134033,4045.000000,3972.033447,4041.000000,4041.000000,0
2020-06-23,3953.067383,4045.000000,3953.067383,4046.000000,4046.000000,0
2020-06-24,3968.370361,4047.000000,3968.370361,4045.000000,4045.000000,0
2020-06-25,3995.842041,4065.000000,3995.842041,4047.000000,4047.000000,0
2020-06-26,4006.187988,4047.000000,4006.187988,4060.000000,4060.000000,0
2020-06-29,4013.303711,4073.000000,4013.303711,4045.000000,4045.000000,0
